tick,phase,resources,resource_capacity,population,workers,vanguards,rangers,core_hp,core_shield,enemies_visible,HARVEST_SUCCEEDED,HARVEST_FAILED,DEPOSIT_SUCCEEDED,DEPOSIT_FAILED,UNIT_HEAL_SUCCEEDED,CORE_HEAL_SUCCEEDED,UNIT_SELF_DESTRUCTED,UNIT_MOVE_SUCCEEDED,combat_events,intents
38548,early_expansion,5,10,1,1,0,0,5,5,0,0,0,0,0,0,0,0,1,0,patrol:1
38549,early_expansion,5,10,1,1,0,0,5,5,0,0,0,0,0,0,0,0,1,0,patrol:1
38550,early_expansion,5,10,1,1,0,0,5,5,0,0,0,0,0,0,0,0,1,0,patrol:1
38551,early_expansion,5,10,1,1,0,0,5,5,0,0,0,0,0,0,0,0,1,0,patrol:1
38552,early_expansion,5,10,1,1,0,0,5,5,0,0,0,0,0,0,0,0,1,0,patrol:1
38553,early_expansion,5,10,1,1,0,0,5,5,0,0,0,0,0,0,0,0,1,0,patrol:1
38554,early_expansion,5,10,1,1,0,0,5,5,0,0,0,0,0,0,0,0,1,0,patrol:1
38555,early_expansion,5,10,1,1,0,0,5,5,0,0,0,0,0,0,0,0,1,0,patrol:1
38556,early_expansion,5,10,1,1,0,0,5,5,0,0,0,0,0,0,0,0,1,0,patrol:1
38557,early_expansion,5,10,1,1,0,0,5,5,0,0,0,0,0,0,0,0,1,0,patrol:1
38558,early_expansion,5,10,1,1,0,0,5,5,0,0,0,0,0,0,0,0,1,0,patrol:1
38559,early_expansion,5,10,1,1,0,0,5,5,0,0,0,0,0,0,0,0,1,0,patrol:1
38560,early_expansion,5,10,1,1,0,0,5,5,0,0,0,0,0,0,0,0,1,0,patrol:1
38561,early_expansion,5,10,1,1,0,0,5,5,0,0,0,0,0,0,0,0,1,0,patrol:1
38562,early_expansion,5,10,1,1,0,0,5,5,0,0,0,0,0,0,0,0,1,0,patrol:1
38563,early_expansion,5,10,1,1,0,0,5,5,0,0,0,0,0,0,0,0,1,0,patrol:1
38564,early_expansion,5,10,1,1,0,0,5,5,0,0,0,0,0,0,0,0,1,0,patrol:1
38565,early_expansion,5,10,1,1,0,0,5,5,0,0,0,0,0,0,0,0,1,0,patrol:1
38566,early_expansion,5,10,1,1,0,0,5,5,0,0,0,0,0,0,0,0,1,0,patrol:1
38567,early_expansion,5,10,1,1,0,0,5,5,0,0,0,0,0,0,0,0,1,0,patrol:1
38568,early_expansion,5,10,1,1,0,0,5,5,0,0,0,0,0,0,0,0,1,0,patrol:1
38569,early_expansion,5,10,1,1,0,0,5,5,0,0,0,0,0,0,0,0,1,0,patrol:1
38570,early_expansion,5,10,1,1,0,0,5,5,0,0,0,0,0,0,0,0,1,0,patrol:1
38571,early_expansion,5,10,1,1,0,0,5,5,0,0,0,0,0,0,0,0,1,0,patrol:1
38572,early_expansion,5,10,1,1,0,0,5,5,0,0,0,0,0,0,0,0,1,0,patrol:1
38573,early_expansion,5,10,1,1,0,0,5,5,0,0,0,0,0,0,0,0,1,0,patrol:1
38574,early_expansion,5,10,1,1,0,0,5,5,0,0,0,0,0,0,0,0,1,0,patrol:1
38575,early_expansion,5,10,1,1,0,0,5,5,0,0,0,0,0,0,0,0,1,0,patrol:1
38576,early_expansion,5,10,1,1,0,0,5,5,0,0,0,0,0,0,0,0,1,0,patrol:1
38577,early_expansion,5,10,1,1,0,0,5,5,0,0,0,0,0,0,0,0,1,0,patrol:1
38578,early_expansion,5,10,1,1,0,0,5,5,0,0,0,0,0,0,0,0,1,0,patrol:1
38579,early_expansion,5,10,1,1,0,0,5,5,0,0,0,0,0,0,0,0,1,0,patrol:1
38580,early_expansion,5,10,1,1,0,0,5,5,0,0,0,0,0,0,0,0,1,0,patrol:1
38581,early_expansion,5,10,1,1,0,0,5,5,0,0,0,0,0,0,0,0,1,0,patrol:1
38582,early_expansion,5,10,1,1,0,0,5,5,0,0,0,0,0,0,0,0,1,0,patrol:1
